filename,dc.creator,dc.title,dc.relation.ispartof,dc.publisher,dc.date.issued,dc.description.tableofcontents,dc.subject,dc.subject.lcsh,dc.subject.nalt,dc.description,dc.language,dc.type,dc.format,dc.coverage.spatial,dc.audience
L1516,"Dreesen, Alan D.",Damage Recovery Opportunities for Loss of Landscape Trees.,Leaflet / Texas Agricultural Extension Service; no. 1516.,Texas Agricultural Extension Service,1977,,,,disaster recovery|| trees|| ,3 pg,,article,,Texas,
L1516,"Dreesen, Alan D.",Damage Recovery Opportunities for Loss of Landscape Trees.,Leaflet / Texas Agricultural Extension Service; no. 1516.,Texas Agricultural Extension Service,1983,,,,disaster recovery|| trees|| ,3 pg,,article,,Texas,
L1516,"Dreesen, Alan D.",Minimizing Economic Losses of Landscape Trees.,Leaflet / Texas Agricultural Extension Service; no. 1516.,Texas Agricultural Extension Service,1989,,,,disaster recovery|| trees|| ,4 pg,,article,,Texas,
L1516,"Dreesen, Alan D.",Damage Recovery Opportunities for Loss of Landscape Trees.,Leaflet / Texas Agricultural Extension Service; no. 1516.,Texas Agricultural Extension Service,1994,,,,disaster recovery|| trees|| ,4 pg,,article,,Texas,
L1517,"Sweeten, Mary K.",Food Fads:  Fact or Fancy?,Leaflet / Texas Agricultural Extension Service; no. 1517.,Texas Agricultural Extension Service,1977,,,,foods|| health foods||,2 pg,,article,,Texas,
L1518,"Anonymous,","Read the Label, Set a Better Table.",Leaflet / Texas Agricultural Extension Service; no. 1518.,Texas Agricultural Extension Service,1977,,,,food labeling|| nutrition labeling||,4 pg,,article,,Texas,
L1519,"Sweeten, Mary K.",B-Complex Vitamins.,Leaflet / Texas Agricultural Extension Service; no. 1519.,Texas Agricultural Extension Service,1977,,,,vitamins|| vitamin B complex|| ,2 pg,,article,,Texas,
L1520,"Taylor, Dorthy|| Amezquita, Lynne",Needs of Children.,Leaflet / Texas Agricultural Extension Service; no. 1520.,Texas Agricultural Extension Service,1977,,,,children|| child care|| child development||,4 pg,,article,,Texas,
L1521,"Taylor, Dorthy|| Amezquita, Lynne",Caring for Young Children.,Leaflet / Texas Agricultural Extension Service; no. 1521.,Texas Agricultural Extension Service,1977,,,,children|| child care|| child development||,4 pg,,article,,Texas,
L1522,"Taylor, Dorthy|| Amezquita, Lynne",Play and Your Child's World.,Leaflet / Texas Agricultural Extension Service; no. 1522.,Texas Agricultural Extension Service,1977,,,,children|| play|| toys||,4 pg,,article,,Texas,
L1523,"Taylor, Dorthy|| Amezquita, Lynne",Discipline.,Leaflet / Texas Agricultural Extension Service; no. 1523.,Texas Agricultural Extension Service,1977,,discipline||,,children|| parenting||,4 pg,,article,,Texas,
L1524,"Ramsey, Charles W.",Squirrel Nest Boxes.,Leaflet / Texas Agricultural Extension Service; no. 1524.,Texas Agricultural Extension Service,1977,,,,squirrels|| nest boxes|| ,4 pg,,article,,Texas,
L1525,"Miller, Ilene C.|| Ward, Elaine A.",Lesson 1--Friends Get Together.,Leaflet / Texas Agricultural Extension Service; no. 1525.,Texas Agricultural Extension Service,1977,,friends||,,interpersonal relationships|| ,4 pg,,article,,Texas,
L1527,"Cline, June",Your Role As a Committee Member.,Leaflet / Texas Agricultural Extension Service; no. 1527.,Texas Agricultural Extension Service,1977,,members|| responsibilities||,,committees|| ,4 pg,,article,,Texas,
L1529,"Cline, June",Your Role As a Committee Member.,Leaflet / Texas Agricultural Extension Service; no. 1529.,Texas Agricultural Extension Service,1977,,chairman|| responsibilities||,,committees|| ,4 pg,,article,,Texas,
L1530,"Spence, C. O.|| Welch, C. D.",Phosphorus Fertilization for Wheat Production on Blackland and Grand Prairie Soils.,Leaflet / Texas Agricultural Extension Service; no. 1530.,Texas Agricultural Extension Service,1977,,,,fertilizer application|| wheat|| crop production|| phosphorus fertilizers||,6 pg,,article,,Texas,
L1531,"Ward, Elaine A.|| Miller, Ilene C.",Lesson 3--Friends Help Others.,Leaflet / Texas Agricultural Extension Service; no. 1531.,Texas Agricultural Extension Service,1977,,friends||,,interpersonal relationships|| volunteerism||,4 pg,,article,,Texas,
L1532,"Hayenga, Wayne A.",5 Year Net Worth Statement and Analysis.,Leaflet / Texas Agricultural Extension Service; no. 1532.,Texas Agricultural Extension Service,1977,,net worth|| financial analysis||,,finance|| accounting|| ,4 pg,,article,,Texas,
L1534,Anonymous,Comparative Analysis Sheet Agriculture.,Leaflet / Texas Agricultural Extension Service; no. 1534.,Texas Agricultural Extension Service,1977,,financial analysis||,,finance|| accounting|| ,3 pg,,article,,Texas,
L1535,"Creger, C. R.|| Fowler, John C.",Feeding Broilers.,Leaflet / Texas Agricultural Extension Service; no. 1535.,Texas Agricultural Extension Service,1977,,,,broilers|| poultry production|| broiler feeding||,2 pg,,article,,Texas,
L1535,"Hargis, Phillip|| Creger, C. R.",Feeding Broilers.,Leaflet / Texas Agricultural Extension Service; no. 1535.,Texas Agricultural Extension Service,1982,,,,broilers|| poultry production|| broiler feeding||,2 pg,,article,,Texas,
L1536,"Hammack, Stephen P.|| Maddox, Jr., L. A.",Systems for Crossbreeding Beef Cattle.,Leaflet / Texas Agricultural Extension Service; no. 1536.,Texas Agricultural Extension Service,1977,,,,crossing|| beef cattle||,4 pg,,article,,Texas,
L1537,"Miller, Ilene C.|| Ward, Elaine A.",Lesson 5--Friends Work Together.,Leaflet / Texas Agricultural Extension Service; no. 1537.,Texas Agricultural Extension Service,1977,,friends||,,interpersonal relationships|| ,4 pg,,article,,Texas,
L1538,"Welch, Charles D.|| Gray, Carl|| Dorsett, Donald J.|| Kissel, David E.",Forage Fertilization on Texas Blackland and Grand Prairie Soils.,Leaflet / Texas Agricultural Extension Service; no. 1538.,Texas Agricultural Extension Service,1977,,,,soil fertility|| micronutrients|| nitrogen fertilizers|| forage|| ,4 pg,,article,,Texas,
L1539,"Ward, Elaine A.|| Miller, Ilene C.",Lesson 4--Friends are Everywhere.,Leaflet / Texas Agricultural Extension Service; no. 1539.,Texas Agricultural Extension Service,1977,,friends||,,interpersonal relationships|| ,4 pg,,article,,Texas,
L1540,"Wyatt, Lawrence E.|| Nickelson, Ranzell|| Wagner, Jr., Al B.",Bacterial Food Poisoning.,Leaflet / Texas Agricultural Extension Service; no. 1540.,Texas Agricultural Extension Service,1977,,,,foodborne illnesses|| food safety|| Salmonella|| bacteria||,4 pg,,article,,Texas,
L1540,"Wagner, Jr., Al B.",Bacterial Food Poisoning.,Leaflet / Texas Agricultural Extension Service; no. 1540.,Texas Agricultural Extension Service,1989,,,,foodborne illnesses|| food safety|| Salmonella|| bacteria||,4 pg,,article,,Texas,
L1541,"Anonymous,",Preguntas que todo comprador debe hacerle a los vendedores que van a su casa.,Leaflet / Texas Agricultural Extension Service; no. 1541.,Texas Agricultural Extension Service,1977,,,,ventas|| finanzas||,6 pg,,article,,Texas,
L1542,"Williams, Zelda R.|| Johnson, Debby",Expressing Feelings.,Leaflet / Texas Agricultural Extension Service; no. 1542.,Texas Agricultural Extension Service,1977,,,,emotions|| behavior||,4 pg,,article,,Texas,
L1543,"Williams, Zelda R.|| Johnson, Debby",Growing Up.,Leaflet / Texas Agricultural Extension Service; no. 1543.,Texas Agricultural Extension Service,1977,,,,child development|| child growth||,4 pg,,article,,Texas,
L1544,"Williams, Zelda R.|| Johnson, Debby",Learning Every Day.,Leaflet / Texas Agricultural Extension Service; no. 1544.,Texas Agricultural Extension Service,1977,,,,child development|| child growth||,4 pg,,article,,Texas,
L1545,"Williams, Zelda R.|| Johnson, Debby",Learning to Get Along with Others.,Leaflet / Texas Agricultural Extension Service; no. 1545.,Texas Agricultural Extension Service,1977,,,,child development|| child growth||,4 pg,,article,,Texas,
L1546,"McCoy, Norman L.",Oat Diseases.,Leaflet / Texas Agricultural Extension Service; no. 1546.,Texas Agricultural Extension Service,1977,,,,oats|| plant diseases and disorders|| signs and symptoms (plants)||,4 pg,,article,,Texas,
L1547,"Sartin, Marvin O.",Calculating an Equitable Crop-Share Arrangement.,Leaflet / Texas Agricultural Extension Service; no. 1547.,Texas Agricultural Extension Service,1977,,,,sharecropping|| farm tenancy|| farm leases||,2 pg,,article,,Texas,
L1547,"Lovell, Ashley C.|| Novak, James",Calculating an Equitable Crop Share-Lease Arrangement.,Leaflet / Texas Agricultural Extension Service; no. 1547.,Texas Agricultural Extension Service,1983,,,,sharecropping|| farm tenancy|| farm leases||,4 pg,,article,,Texas,
L1548,"Wolf, Kenneth",Customer Relations.,Leaflet / Texas Agricultural Extension Service; no. 1548.,Texas Agricultural Extension Service,1977,,,,customer service|| consumer satisfaction||,2 pg,,article,,Texas,
L1549,"McElyea, Eugene M.",The Role of an Executor or Administrator.,Leaflet / Texas Agricultural Extension Service; no. 1549.,Texas Agricultural Extension Service,1978,,roles|| ,,administrative management|| estate planning||,2 pg,,article,,Texas,
L1550,"Spence, C. O.|| Welch, C. D.",Phosphorus Fertilization for Grain Sorghum Production in the Texas Blacklands.,Leaflet / Texas Agricultural Extension Service; no. 1550.,Texas Agricultural Extension Service,1977,,,,grain sorghum|| crop production|| phosphorus fertilizers|| ,6 pg,,article,,Texas,
L1551,"Cline, June",Your Role As Vice President of a Home Demonstration Club.,Leaflet / Texas Agricultural Extension Service; no. 1551.,Texas Agricultural Extension Service,1977,,roles|| vice president||,,administrative management|| planning||,4 pg,,article,,Texas,
L1551,"Cline, June",Your Role As Vice President.,Leaflet / Texas Agricultural Extension Service; no. 1551.,Texas Agricultural Extension Service,1983,,roles|| vice president||,,administrative management|| planning||,4 pg,,article,,Texas,
L1552,"Cline, June",Your Role As Secretary of a Home Demonstration Club.,Leaflet / Texas Agricultural Extension Service; no. 1552.,Texas Agricultural Extension Service,1977,,roles|| secretary||,,administrative management|| planning||,2 pg,,article,,Texas,
L1552,"Cline, June",Your Role As Secretary.,Leaflet / Texas Agricultural Extension Service; no. 1552.,Texas Agricultural Extension Service,1983,,roles|| secretary||,,administrative management|| planning||,2 pg,,article,,Texas,
L1553,"Cline, June",Your Role as Treasurer of a Home Demonstration Club.,Leaflet / Texas Agricultural Extension Service; no. 1553.,Texas Agricultural Extension Service,1977,,roles|| treasurer||,,administrative management|| planning||,2 pg,,article,,Texas,
L1554,"Cline, June",Your Role as Publicity Chairman of a Home Demonstration Club.,Leaflet / Texas Agricultural Extension Service; no. 1554.,Texas Agricultural Extension Service,1977,,roles|| ,,administrative management|| public relations||,4 pg,,article,,Texas,
L1555,"Cline, June",Your Role as Delegate to The County Home Demonstration Council.,Leaflet / Texas Agricultural Extension Service; no. 1555.,Texas Agricultural Extension Service,1977,,roles|| delegate||,,administrative management|| planning||,2 pg,,article,,Texas,
L1555,"Cline, June",Your Role as Delegate to The County Homemaker Council and County Texas Extension Homemakers Association.,Leaflet / Texas Agricultural Extension Service; no. 1555.,Texas Agricultural Extension Service,1983,,roles|| delegate||,,administrative management|| planning||,2 pg,,article,,Texas,
L1556,"Roberts, Roland|| Cotner, Sam|| Longbrake, Tom",Keys to Profitable Fresh Market Cucumber Production.,Leaflet / Texas Agricultural Extension Service; no. 1556.,Texas Agricultural Extension Service,1977,,,,cucumbers|| crop production|| fertilizers|| weed control|| site preparation|| harvesting||,4 pg,,article,,Texas,
L1556,"Roberts, Roland|| Cotner, Sam|| Longbrake, Tom",Keys to Profitable Fresh Market Cucumber Production.,Leaflet / Texas Agricultural Extension Service; no. 1556.,Texas Agricultural Extension Service,1978,,,,cucumbers|| crop production|| fertilizers|| weed control|| site preparation|| harvesting||,4 pg,,article,,Texas,
L1557,"Bentley, Ernest|| Prater, Tom E.|| Shumway, C. Richard",Economics of Beef Cow Replacement.,Leaflet / Texas Agricultural Extension Service; no. 1557.,Texas Agricultural Extension Service,1977,,,,beef cattle|| economics|| culling (animals)|| costs and returns||,4 pg,,article,,Texas,
L1558,"Cline, June",Your Role as President of a Home Demonstration Club.,Leaflet / Texas Agricultural Extension Service; no. 1558.,Texas Agricultural Extension Service,1977,,roles|| president||,,administrative management|| planning||,6 pg,,article,,Texas,
L1559,"Anonymous,",Energy-Wise Living.,Leaflet / Texas Agricultural Extension Service; no. 1559.,Texas Agricultural Extension Service,1977,,,,energy efficiency|| energy costs|| energy conservations||,8 pg,,article,,Texas,
L1560,"Anonymous,",Save Appliance Energy.,Leaflet / Texas Agricultural Extension Service; no. 1560.,Texas Agricultural Extension Service,1977,,,,energy efficiency|| energy costs|| energy conservations|| household equipment||,5 pg,,article,,Texas,
L1561,"Ward, Elaine A.|| Miller, Ilene C.|| Taylor, Dorthy",Lesson 6--Friends Play Games.,Leaflet / Texas Agricultural Extension Service; no. 1561.,Texas Agricultural Extension Service,1977,,friends||,,interpersonal relationships|| play||,4 pg,,article,,Texas,
L1562,"Ward, Elaine A.|| Miller, Ilene C.|| Taylor, Dorthy",Lesson 7--Friends Join a Group.,Leaflet / Texas Agricultural Extension Service; no. 1562.,Texas Agricultural Extension Service,1977,,friends||,,interpersonal relationships|| teams|| 4-H clubs||,4 pg,,article,,Texas,
L1563,"Stewart, B. R.",Moisture Control in Residences.,Leaflet / Texas Agricultural Extension Service; no. 1563.,Texas Agricultural Extension Service,1977,,,,moisture content|| mildews|| homes and home furnishings|| heating systems|| ,6 pg,,article,,Texas,
L1564,"Young, Sue",Remodel Rationally.,Leaflet / Texas Agricultural Extension Service; no. 1564.,Texas Agricultural Extension Service,1977,,,,home improvement|| homes and home furnishings||,4 pg,,article,,Texas,
L1565,"Young, Sue",Evaluating the Structure of an Older House.,Leaflet / Texas Agricultural Extension Service; no. 1565.,Texas Agricultural Extension Service,1977,,,,home improvement|| homes and home furnishings|| home maintenance||,4 pg,,article,,Texas,
L1566,"Young, Sue",A New Bathroom for Your Home.,Leaflet / Texas Agricultural Extension Service; no. 1566.,Texas Agricultural Extension Service,1977,,bathroom||,,home improvement|| homes and home furnishings||,4 pg,,article,,Texas,
L1567,"McCraw, B. Dean",Easy Gardening…Radishes.,Leaflet / Texas Agricultural Extension Service; no. 1567.,Texas Agricultural Extension Service,1978,,radishes||,,gardening|| vegetable growing|| ,2 pg,,article,,Texas,
L1568,"Anonymous,",Food Fads and Fallacies.,Leaflet / Texas Agricultural Extension Service; no. 1568.,Texas Agricultural Extension Service,1978,,,,food fads|| ,2 pg,,article,,Texas,
L1569,"Anonymous,",Myths of Vitamins.,Leaflet / Texas Agricultural Extension Service; no. 1569.,Texas Agricultural Extension Service,1978,,,,vitamins|| vitamin A|| vitamin E|| vitamin B complex||,4 pg,,article,,Texas,
L1570,"Anonymous,",The Dangers of Weight Reduction Fad Diets.,Leaflet / Texas Agricultural Extension Service; no. 1570.,Texas Agricultural Extension Service,1981,,,,popular diets|| human health and safety||,2 pg,,article,,Texas,
L1570,"Anonymous,",Organic Foods.,Leaflet / Texas Agricultural Extension Service; no. 1570.,Texas Agricultural Extension Service,1978,,,,organic foods|| nutritive value||,2 pg,,article,,Texas,
L1571,"Anonymous,",Identifying Food Quackery.,Leaflet / Texas Agricultural Extension Service; no. 1571.,Texas Agricultural Extension Service,1978,,,,misinformation|| foods|| human nutrition||,4 pg,,article,,Texas,
L1571,"Anonymous,",Food Quackery and Faddism.,Leaflet / Texas Agricultural Extension Service; no. 1571.,Texas Agricultural Extension Service,1981,,,,popular diets|| human health and safety|| misinformation||,4 pg,,article,,Texas,
L1574,"McCraw, Dean B.",Jardines Fáciles…Zanahorias.,Leaflet / Texas Agricultural Extension Service; no. 1574.,Texas Agricultural Extension Service,1978,,,,jardines|| zanahorias|| fertilizantes|| ,2 pg,,article,,Texas,
L1574,"McCraw, Dean B.",Jardineria Fácil…Zanahorias.,Leaflet / Texas Agricultural Extension Service; no. 1574.,Texas Agricultural Extension Service,1979,,,,jardines|| zanahorias|| fertilizantes|| ,2 pg,,article,,Texas,
L1574,"Cotner, Sam|| Dainello, Frank",Easy Gardening…Carrots.,Leaflet / Texas Agricultural Extension Service; no. 1574.,Texas Agricultural Extension Service,1993,,,,gardens|| carrots|| fertilizers||,2 pg,,article,,Texas,
L1576,"McCraw, Dean|| Cotner, Sam",Easy Gardening…Planning.,Leaflet / Texas Agricultural Extension Service; no. 1576.,Texas Agricultural Extension Service,1979,,,,gardening|| planning|| vegetable growing||,2 pg,,article,,Texas,
L1576s,"McCraw, Dean|| Cotner, Sam",Jardineria Fácil…El Planeo.,Leaflet / Texas Agricultural Extension Service; no. 1576s.,Texas Agricultural Extension Service,1978,,,,jardines|| planificación|| cultivo de hortalizas||,2 pg,,article,,Texas,
L1577,"McCraw, Dean|| Cotner, Sam",Easy Gardening…Planting.,Leaflet / Texas Agricultural Extension Service; no. 1577.,Texas Agricultural Extension Service,1978,,,,gardening|| planting|| planting seed||,2 pg,,article,,Texas,
L1577s,"McCraw, Dean|| Cotner, Sam",Jardineria Fácil…Al Sembrar.,Leaflet / Texas Agricultural Extension Service; no. 1577s.,Texas Agricultural Extension Service,1978,,,,jardines|| plantación|| semilla de siembra|| ,4 pg,,article,,Texas,
L1580s,"Longbrake, Tom",Jardineria Fácil…Cebolla.,Leaflet / Texas Agricultural Extension Service; no. 1580s.,Texas Agricultural Extension Service,1979,,,,jardines|| cultivo de hortalizas|| cebollas||,2 pg,,article,,Texas,
L1582,"McCraw, Dean|| Cotner, Sam",Easy Gardening…Squash.,Leaflet / Texas Agricultural Extension Service; no. 1582.,Texas Agricultural Extension Service,1978,,,,gardening|| squashes|| vegetable growing||,2 pg,,article,,Texas,
L1582,"Cotner, Sam",Easy Gardening…Squash.,Leaflet / Texas Agricultural Extension Service; no. 1582.,Texas Agricultural Extension Service,1993,,,,gardening|| squashes|| vegetable growing||,2 pg,,article,,Texas,
L1582s,"McCraw, B. Dean|| Cotner, Sam",Jardines Fáciles…Calabacitas.,Leaflet / Texas Agricultural Extension Service; no. 1582s.,Texas Agricultural Extension Service,1978,,,,jardines|| calabacitas|| cultivo de hortalizas||,2 pg,,article,,Texas,
L1583,"McCraw, Dean|| Cotner, Sam",Easy Gardening…Sweet Corn.,Leaflet / Texas Agricultural Extension Service; no. 1583.,Texas Agricultural Extension Service,1978,,,,gardens|| vegetable growing|| sweetcorn||,2 pg,,article,,Texas,
L1583,"Dainello, Frank|| Parsons, Jerry",Easy Gardening…Sweet Corn.,Leaflet / Texas Agricultural Extension Service; no. 1583.,Texas Agricultural Extension Service,1993,,,,gardens|| vegetable growing|| sweetcorn||,2 pg,,article,,Texas,
L1583s,"McCraw, Dean|| Cotner, Sam",Jardines Fáciles…Elote.,Leaflet / Texas Agricultural Extension Service; no. 1583s.,Texas Agricultural Extension Service,1978,,,,jardines|| cultivo de hortalizas|| maíz dextrinoso||,2 pg,,article,,Texas,
L1585s,"Johnson, Jerral D.",Jardineria Fácil…Control de Enfermedades.,Leaflet / Texas Agricultural Extension Service; no. 1585s.,Texas Agricultural Extension Service,1981,,,,jardines|| control de enfermedades||,2 pg,,article,,Texas,
L1586,"Cole, Charles L.",Easy Gardening…Insect Control.,Leaflet / Texas Agricultural Extension Service; no. 1586.,Texas Agricultural Extension Service,1979,,,,gardens|| insect control||,2 pg,,article,,Texas,
L1586s,"Cole, Charles",Jardineria Fácil…Control de Insectos.,Leaflet / Texas Agricultural Extension Service; no. 1586s.,Texas Agricultural Extension Service,1982,,,,jardines|| control de insectos||,2 pg,,article,,Texas,
L1587,"McCraw, Dean|| Cotner, Sam",Easy Gardening…Fertilizing.,Leaflet / Texas Agricultural Extension Service; no. 1587.,Texas Agricultural Extension Service,1980,,,,gardening|| fertilizer application||,2 pg,,article,,Texas,
L1587s,"McCraw, Dean|| Cotner, Sam",Jardineria Fácil…El Fertilizar.,Leaflet / Texas Agricultural Extension Service; no. 1587s.,Texas Agricultural Extension Service,1978,,,,gardening|| fertilización||,4 pg,,article,,Texas,
L1591,"McCraw, B. Dean",Easy Gardening…Spinach and Other Greens.,Leaflet / Texas Agricultural Extension Service; no. 1591.,Texas Agricultural Extension Service,1981,,,,gardening|| spinach|| green leafy vegetables||,4 pg,,article,,Texas,
L1591s,"McCraw, B. Dean",Jardineria Fácil…Espinaca y Otras Verduras.,Leaflet / Texas Agricultural Extension Service; no. 1591s.,Texas Agricultural Extension Service,1982,,,,jardines|| espinaca|| vegetales de hoja verde||,4 pg,,article,,Texas,
L1591,"Cotner, Sam|| Parsons, Jerry",Easy Gardening…Spinach and Other Greens.,Leaflet / Texas Agricultural Extension Service; no. 1591.,Texas Agricultural Extension Service,1986,,,,gardening|| spinach|| green leafy vegetables||,2 pg,,article,,Texas,
L1591,"Dainello, Frank|| Parsons, Jerry",Easy Gardening…Spinach and Other Greens.,Leaflet / Texas Agricultural Extension Service; no. 1591.,Texas Agricultural Extension Service,1993,,,,gardening|| spinach|| green leafy vegetables||,2 pg,,article,,Texas,
L1591s,"Dainello, Frank|| Parsons, Jerry",Jardineria Fácil…Espinaca y Otras Verduras.,Leaflet / Texas Agricultural Extension Service; no. 1591s.,Texas Agricultural Extension Service,1994,,,,jardines|| espinaca|| vegetales de hoja verde||,3 pg,,article,,Texas,
L1592,"McCraw, B. Dean",Easy Gardening…Melons.,Leaflet / Texas Agricultural Extension Service; no. 1592.,Texas Agricultural Extension Service,1981,,,,gardening|| fertilizer application|| site preparation|| melons||,4 pg,,article,,Texas,
L1592,"Cotner, Sam",Easy Gardening…Melons.,Leaflet / Texas Agricultural Extension Service; no. 1592.,Texas Agricultural Extension Service,1987,,,,gardening|| fertilizer application|| site preparation|| melons||,4 pg,,article,,Texas,
L1592s,"McCraw, B. Dean",Jardineria Fácil…Melones.,Leaflet / Texas Agricultural Extension Service; no. 1592s.,Texas Agricultural Extension Service,1982,,,,jardines|| ferilización|| melones||,4 pg,,article,,Texas,
L1594s,"McCraw, Dean",Jardineria Fácil…Preparacion de La Tierra.,Leaflet / Texas Agricultural Extension Service; no. 1594s.,Texas Agricultural Extension Service,1978,,,,jardines|| preparación del sitio||,2 pg,,article,,Texas,
L1594,"McCraw, Dean",Easy Gardening…Soil Preparation.,Leaflet / Texas Agricultural Extension Service; no. 1594.,Texas Agricultural Extension Service,1980,,,,gardening|| site preparation||,2 pg,,article,,Texas,
L1595,"Seaman, Pat Bradshaw",Planning Remodeling Projects.,Leaflet / Texas Agricultural Extension Service; no. 1595.,Texas Agricultural Extension Service,1977,,,,home improvement|| homes and home furnishings|| planning||,4 pg,,article,,Texas,
L1596,"Shreve, Loy W.",Greenwood Grafting.,Leaflet / Texas Agricultural Extension Service; no. 1596.,Texas Agricultural Extension Service,1977,,,,grafting (plants)|| ,4 pg,,article,,Texas,
L1597,"McAfee, James A.|| Duble, Richard L.",Management of Tall Fescue Lawns in Texas.,Leaflet / Texas Agricultural Extension Service; no. 1597.,Texas Agricultural Extension Service,1978,,,,turf management|| Festuca|| ,2 pg,,article,,Texas,
L1598,"Smith, Leon R.|| Dreesen, Alan D.",Fusiform Rust of Pine.,Leaflet / Texas Agricultural Extension Service; no. 1598.,Texas Agricultural Extension Service,1978,,fusiform rust|| pines|| ,,conifers|| plant diseases and disorders|| disease control||,2 pg,,article,,Texas,
L1599,"Suter, Carol B.","""Spice Up"" Your Low Calorie Menu.",Leaflet / Texas Agricultural Extension Service; no. 1599.,Texas Agricultural Extension Service,1978,,,,menu planning|| spices||,2 pg,,article,,Texas,
L1600,"Suter, Carol B.",Is Your Weight a Problem?,Leaflet / Texas Agricultural Extension Service; no. 1600.,Texas Agricultural Extension Service,1978,,,,body weight|| weight control|| ,2 pg,,article,,Texas,
L1600s,"Suter, Carol B.",Es Su Peso un Problema?,Leaflet / Texas Agricultural Extension Service; no. 1600s.,Texas Agricultural Extension Service,1979,,,,peso corporal|| control de peso||,2 pg,,article,,Texas,
L1601,"Suter, Carol B.",How is Your Weight?,Leaflet / Texas Agricultural Extension Service; no. 1601.,Texas Agricultural Extension Service,1978,,,,body weight|| weight control|| ,2 pg,,article,,Texas,
L1601s,"Suter, Carol B.",Como Esta Su Peso?,Leaflet / Texas Agricultural Extension Service; no. 1601s.,Texas Agricultural Extension Service,1979,,,,peso corporal|| control de peso||,2 pg,,article,,Texas,
L1602,"Suter, Carol B.",Beware of Hidden Fats.,Leaflet / Texas Agricultural Extension Service; no. 1602.,Texas Agricultural Extension Service,1978,,,,lipids|| diet|| energy requirements||,2 pg,,article,,Texas,
L1602s,"Suter, Carol B.",Cuídese de Las Grasas Ocultas.,Leaflet / Texas Agricultural Extension Service; no. 1602s.,Texas Agricultural Extension Service,1979,,,,requisitos energéticos|| lípidos|| dieta||,2 pg,,article,,Texas,
L1603,"Suter, Carol B.",Activities for Successful Weight Control.,Leaflet / Texas Agricultural Extension Service; no. 1603.,Texas Agricultural Extension Service,1978,,,,weight control|| meal planning|| ,2 pg,,article,,Texas,
L1603s,"Suter, Carol B.",Actividades Para El Exito del Control de Peso.,Leaflet / Texas Agricultural Extension Service; no. 1603s.,Texas Agricultural Extension Service,1979,,,,control de peso|| planificación de comidas||,2 pg,,article,,Texas,
L1604,"Suter, Carol B.",Plan for Weight Control.,Leaflet / Texas Agricultural Extension Service; no. 1604.,Texas Agricultural Extension Service,1978,,,,weight control|| planning||,2 pg,,article,,Texas,
L1604s,"Suter, Carol B.",Plan para Controlar el Peso.,Leaflet / Texas Agricultural Extension Service; no. 1604s.,Texas Agricultural Extension Service,1979,,,,control de peso|| planificación||,2 pg,,article,,Texas,
L1605,"Suter, Carol B.",Breads and Weight Control.,Leaflet / Texas Agricultural Extension Service; no. 1605.,Texas Agricultural Extension Service,1978,,,,weight control|| breads|| meal planning||,2 pg,,article,,Texas,
L1606,"Suter, Carol B.",Choose Fruits for Slimming Desserts.,Leaflet / Texas Agricultural Extension Service; no. 1606.,Texas Agricultural Extension Service,1978,,,,weight control|| fruits (food)|| desserts||,2 pg,,article,,Texas,
L1606s,"Suter, Carol B.",Escoja Frutas para un Postre Adelgazador.,Leaflet / Texas Agricultural Extension Service; no. 1606s.,Texas Agricultural Extension Service,1979,,,,control de peso|| fruta (alimentos)|| postre||,2 pg,,article,,Texas,
L1607,"Suter, Carol B.",Count Calories.,Leaflet / Texas Agricultural Extension Service; no. 1607.,Texas Agricultural Extension Service,1978,,,,energy intake|| diet||,2 pg,,article,,Texas,
L1607s,"Suter, Carol B.",Cuente Las Calorias.,Leaflet / Texas Agricultural Extension Service; no. 1607s.,Texas Agricultural Extension Service,1979,,,,ingesta de energía|| dieta||,2 pg,,article,,Texas,
L1608,"Suter, Carol B.",Count Down With Vegetables.,Leaflet / Texas Agricultural Extension Service; no. 1608.,Texas Agricultural Extension Service,1979,,,,vegetables|| meal planning|| serving size||,2 pg,,article,,Texas,
L1608s,"Suter, Carol B.",Rebaje con Vegetales.,Leaflet / Texas Agricultural Extension Service; no. 1608s.,Texas Agricultural Extension Service,1979,,,,verduras|| planificación de comidas|| ,2 pg,,article,,Texas,
L1609,"Suter, Carol B.",Calories Count in the Meat Group.,Leaflet / Texas Agricultural Extension Service; no. 1609.,Texas Agricultural Extension Service,1978,,,,energy intake|| meat||,2 pg,,article,,Texas,
L1609s,"Suter, Carol B.",Las Calorias Cuentan en el Grupo de la Carne.,Leaflet / Texas Agricultural Extension Service; no. 1609s.,Texas Agricultural Extension Service,1979,,,,ingesta de energía|| carne||,2 pg,,article,,Texas,
L1610,"Suter, Carol B.",Slim Down with Low Calorie Milk Group Foods.,Leaflet / Texas Agricultural Extension Service; no. 1610.,Texas Agricultural Extension Service,1978,,,,milk|| food groups|| energy intake|| ,2 pg,,article,,Texas,
L1610s,"Suter, Carol B.",Rebaje con Comidas Bajas en Calorias del Grupo de la Leche.,Leaflet / Texas Agricultural Extension Service; no. 1610s.,Texas Agricultural Extension Service,1979,,,,leche|| grupos alimentarias|| ingesta de energía||,2 pg,,article,,Texas,
L1611,Anonymous,"For Weight Control, Know Yourself.",Leaflet / Texas Agricultural Extension Service; no. 1611.,Texas Agricultural Extension Service,1979,,,,weight control|| ,4 pg,,article,,Texas,
